  ,Data    (dd/mm/aaaa),Hora local (hh:mm),Hora UTC (hh:mm),Tmáx (°C),Tmin (°C),Tar (°C),TH2O ev (°C),U2 (m/s),Direção do vento,Tar 2 (°C),Prp (mm/dia),Soma de Prp (mm/dia),pluv. alternativo (ml),Ev (mm),Ev (mm)*,Patm (mbar),Tmáx Real (ºC),Tmin Real (ºC),Tméd (ºC),esTU,ea,es,UR (%),Ev (mm/dia),Tanque,Evento,Visibilidade,Nuvem,Cobertura do céu,Observadores
Segunda,23/03,09:00,12:00,"33,00","23,30","29,40","26,20",,L,,"19,25",,,"74,46",,,"33,40","23,30","28,35","34,01","31,45","40,99","76,73","7,71",,1,1,2,2,Murillo
Segunda,23/03,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,24/03,09:00,12:00,"32,60","24,00","28,20","26,20",,L,,"2,25",,,"73,42",,,"33,00","24,00","28,50","34,01","32,41","38,24","84,76","3,29",,1,2,2,2,Murillo
Terça,24/03,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,25/03,09:00,12:00,"31,40","22,40","25,40","24,00",,L,,"4,25",,,"74,10",,,"32,60","22,40","27,50","29,84","28,72","32,44","88,53","3,57",,1,1,2,2,Murillo
Quarta,25/03,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,26/03,09:00,12:00,"33,00","23,20","29,20","26,40",,L,,"31,50",,,"100,00","72,12",,"31,40","23,20","27,30","34,41","32,17","40,52","79,41","5,60",,1,1,2,2,Murillo
Quinta,26/03,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,27/03,09:00,12:00,"34,40","24,40","28,80","25,00",,L,,"0,00",,,"70,00",,,"33,00","24,40","28,70","31,67","28,63","39,59","72,32","2,12",,1,1,2,2,Murillo
Sexta,27/03,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,28/03,09:00,12:00,"33,40","24,30","28,60","26,20",,NE,,"0,00",,,"64,66",,,"34,40","24,30","29,35","34,01","32,09","39,14","82,00","5,34",,1,1,2,2,Murillo
Sábado,28/03,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,29/03,09:00,12:00,"33,00","24,80","26,40","25,00",,ne,,"9,00",,,"71,60",,,"33,40","24,80","29,10","31,67","30,55","34,41","88,79","2,06",,1,1,3,3,Amanda
Domingo,29/03,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,30/03,09:00,12:00,"33,40","23,80","28,40","26,20",,s,,"43,75",,,"100,00","86,80",,"33,00","23,80","28,40","34,01","32,25","38,68","83,37",,,1,2,2,2,Amanda
Segunda,30/03,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,31/03,09:00,12:00,"33,80","24,00","25,60","24,40",,L,,"1,75",,,"85,78",,,"33,40","24,00","28,70","30,56","29,60","32,82","90,18","2,77",,1,2,2,2,Murillo
Terça,31/03,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,01/04,09:00,12:00,"32,00","24,20","28,60","26,00",,NE,,"15,00",,,"100,00","75,62",,"33,80","24,20","29,00","33,61","31,53","39,14","80,57",,,1,1,2,2,Murillo
Quarta,01/04,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinta,02/04,09:00,12:00,"32,40","23,60","27,20","25,40",,L,,"32,50",,,"100,00","72,06",,"32,00","23,60","27,80","32,44","31,00","36,07","85,94",,,1,1,2,2,Murillo
Quinta,02/04,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,03/04,09:00,12:00,"30,40","22,90","28,60","24,80",,SE,,"0,00",,,"69,48",,,"32,40","22,90","27,65","31,30","28,26","39,14","72,21","2,58",,1,1,3,1,Juliane
Sexta,03/04,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,04/04,09:00,12:00,"34,60","24,30","29,40","26,60",,NE,,"11,25",,,"73,34",,,"30,40","24,30","27,35","34,82","32,58","40,99","79,49","7,39",,1,1,2,2,Juliane
Sábado,04/04,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,05/04,09:00,12:00,"32,80","24,10","28,40","26,20",,L,,"26,50",,,"91,28","63,20",,"34,60","24,10","29,35","34,01","32,25","38,68","83,37","8,56",,1,1,3,2,Juliane
Domingo,05/04,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,06/04,09:00,12:00,"31,20","23,80","26,00","25,00",,L,,"35,75",,,"100,00","71,80",,"32,80","23,80","28,30","31,67","30,87","33,61","91,86",,,1,2,2,2,Murillo
Segunda,06/04,15:00,18:00,,,"28,80","26,60",,O,,,,,,,,,,,"34,82","33,06","39,59","83,51",,,3,2,1,3,Juliane
Terça,07/04,09:00,12:00,"32,40","23,30","28,20","26,20",,N,,"11,25",,,"75,72",,,"31,20","23,30","27,25","34,01","32,41","38,24","84,76","7,33",,1,1,2,2,Amanda
Terça,07/04,15:00,18:00,,,"28,20","27,80",,Ne,,,,,,,,,,,"37,36","37,04","38,24","96,86",,,1,2,3,3,Amanda
Quarta,08/04,09:00,12:00,"33,80","23,30","29,60","26,80",,Ne,,"9,75",,,"80,56",,,"32,40","23,30","27,85","35,23","32,99","41,46","79,57","4,91",,1,2,2,1,Amanda
Quarta,08/04,15:00,18:00,,,"28,40","26,60",,L,,,,,,,,,,,"34,82","33,38","38,68","86,29",,,2,2,1,1,Murillo 
Quinta,09/04,09:00,12:00,"32,60","24,20","29,40","27,00",,L,,"6,75",,,"85,78",,,"33,80","24,20","29,00","35,65","33,73","40,99","82,29","1,53",,1,2,2,1,Murillo
Quinta,09/04,15:00,18:00,,,"31,20","28,00",,N,,,,,,,,,,,"37,80","35,24","45,44","77,55",,,1,1,1,2,
Sexta,10/04,09:00,12:00,"33,00","23,30","29,60","26,20",,n,,"18,50",,,"100,00","64,32",,"32,60","23,30","27,95","34,01","31,29","41,46","75,47","4,28",,1,1,1,1,Amanda
Sexta,10/04,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,11/04,09:00,12:00,"34,80","23,80","28,20","26,00",,NE,,"2,25",,,"60,26",,,"33,00","23,80","28,40","33,61","31,85","38,24","83,30","6,31",,1,1,2,2,Sabrina
Sábado,11/04,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,12/04,09:00,12:00,"32,60","24,20","29,00","26,20",,L,,"55,75",,,"100,00","78,20",,"34,80","24,20","29,50","34,01","31,77","40,05","79,32",,,1,1,3,2,Sabrina
Domingo,12/04,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,13/04,09:00,12:00,"34,00","23,60","28,40","27,00",,L,,"7,00",,,"81,88",,,"32,60","23,60","28,10","35,65","34,53","38,68","89,26","3,32",,1,1,2,2,Murillo
Segunda,13/04,15:00,18:00,,,"30,00","26,40",,L,,,,,,,,,,,"34,41","31,53","42,43","74,33",,,1,1,1,3,Juliane
Terça,14/04,09:00,12:00,"32,40","23,80","26,20","25,00",,NE,,"46,25",,,"100,00","75,58",,"34,00","23,80","28,90","31,67","30,71","34,01","90,31",,,2,1,1,2,Murillo
Terça,14/04,15:00,18:00,,,"29,40","27,00",,L,,,,,,,,,,,"35,65","33,73","40,99","82,29",,,1,1,1,2,Juliane
Quarta,15/04,09:00,12:00,"31,40","24,60","26,40","25,00",,N,,"1,00",,,"74,00",,,"32,40","24,60","28,50","31,67","30,55","34,41","88,79","2,58",,1,3,3,3,
Quarta,15/04,15:00,18:00,,,"31,20","27,00",,L,,,,,,,,,,,"35,65","32,29","45,44","71,07",,,1,1,2,2,Juliane
Quinta,16/04,09:00,12:00,"32,80","24,00","27,40","25,80",,S,,"1,75",,,"69,12",,,"31,40","24,00","27,70","33,22","31,94","36,50","87,51","6,63",,1,2,1,2,Amanda
Quinta,16/04,15:00,18:00,,,"31,60","27,40",,L,,,,,,,,,,,"36,50","33,14","46,48","71,29",,,1,1,1,2,Sabrina
Sexta,17/04,09:00,12:00,"33,20","24,30","29,00","26,60",,N,,"2,00",,,"65,08",,,"32,80","24,30","28,55","34,82","32,90","40,05","82,15","6,04",,1,1,2,2,Amanda
Sexta,17/04,15:00,18:00,,,"26,80","24,80",,NE,,,,,,,,,,,"31,30","29,70","35,23","84,29",,,2,1,1,3,Sabrina
Sábado,18/04,09:00,12:00,"33,20","23,40","30,00","26,80",,L,,"0,25",,,"64,12",,,"33,20","23,40","28,30","35,23","32,67","42,43","77,01","1,21",,1,1,2,2,
Sábado,18/04,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,19/04,09:00,12:00,"33,00","24,00","25,60","24,80",,No,,"59,75",,,"100,00","89,78",,"33,20","24,00","28,60","31,30","30,66","32,82","93,40",,,3,3,3,3,Amanda
Domingo,19/04,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,20/04,09:00,12:00,"31,20","23,60","27,20","25,20",,L,,"112,25",,,"100,00","70,16",,"33,00","23,60","28,30","32,05","30,45","36,07","84,43",,,1,1,2,2,Murillo
Segunda,20/04,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terça,21/04,09:00,12:00,"34,40","23,70","28,40","26,80",,N,,"12,00",,,"79,10","80,10",,"31,20","23,70","27,45","35,23","33,95","38,68","87,77","3,06",,1,1,2,2,Amanda
Terça,21/04,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,22/04,09:00,12:00,"32,40","23,80","26,40","25,00",,L,,"0,75",,,"77,32",,,"34,40","23,80","29,10","31,67","30,55","34,41","88,79","3,53",,1,1,2,2,Jhennifer e Murillo
Quarta,22/04,15:00,18:00,,,"31,00","26,40",,SE,,,,,,,,,,,"34,41","30,73","44,92","68,42",,,1,1,2,2,Sabrina 
Quinta,23/04,09:00,12:00,"32,20","24,60","28,40","26,60",,S,,"2,75",,,"77,22",,,"32,40","24,60","28,50","34,82","33,38","38,68","86,29","2,85",,1,2,2,3,"Alice, Amanda, Jhennifer e Pedro "
Quinta,23/04,15:00,18:00,,,"27,00","25,20",,NO,,,,,,,,,,,"32,05","30,61","35,65","85,87",,,1,1,3,3,Juliane
Sexta,24/04,09:00,12:00,"33,60","24,90","25,60","25,00",,O,,"18,00",,,"100,00","74,12",,"32,20","24,90","28,55","31,67","31,19","32,82","95,03",,,2,2,3,3,Amanda
Sexta,24/04,15:00,18:00,,,"25,80","24,80",,L,,,,,,,,,,,"31,30","30,50","33,22","91,82",,,1,2,1,3,Sabrina 
Sábado,25/04,09:00,12:00,"30,60","23,80","25,20","24,40",,L,,"5,75",,,"78,28",,,"33,60","23,80","28,70","30,56","29,92","32,05","93,34","1,59",,1,1,1,3,Juliane
Sábado,25/04,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,26/04,09:00,12:00,"30,80","23,90","28,60","25,80",,L,,"0,00",,,"75,88",,,"30,60","23,90","27,25","33,22","30,98","39,14","79,15","2,40",,1,1,3,2,Juliane
Domingo,26/04,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,27/04,09:00,12:00,"34,20","24,20","30,20","26,00",,L,,"0,00",,,"70,40",,,"30,80","24,20","27,50","33,61","30,25","42,92","70,49","5,48",,1,1,3,1,Jhennifer e Murillo
Segunda,27/04,15:00,18:00,,,"30,80","26,80",,N,,,,,,,,,,,"35,23","32,03","44,41","72,13",,,1,1,2,2,Sabrina
Terça,28/04,09:00,12:00,"32,40","24,20","28,80","26,60",,L,,"0,00",,,"67,98",,,"34,20","24,20","29,20","34,82","33,06","39,59","83,51","2,42",,1,1,1,2,Amanda e companhia do treinamento 
Terça,28/04,15:00,18:00,,,"33,00","27,60",,L,,,,,,,,,,,"36,92","32,60","50,30","64,82",,,1,1,1,2,Juliane
Quarta,29/04,09:00,12:00,"33,60","23,60","29,60","27,00",,N,,"0,00",,,"62,66","82,70",,"32,40","23,60","28,00","35,65","33,57","41,46","80,96","5,32",,1,2,3,2,Amanda e companhia do treinamento 
Quarta,29/04,15:00,18:00,,,"33,00","27,40",,L,,,,,,,,,,,"36,50","32,02","50,30","63,65",,,1,1,2,2,Murillo
Quinta,30/04,09:00,12:00,"35,20","23,70","29,00","27,00",,L,,"2,25",,,"80,20",,,"33,60","23,70","28,65","35,65","34,05","40,05","85,01","4,75",,1,1,1,3,"Jhennifer, Juliane, Pedro, Alice"
Quinta,30/04,15:00,18:00,,,"26,60","25,60",,L,,,,,,,,,,,"32,82","32,02","34,82","91,97",,,2,1,1,3,Juliane
Sexta,01/05,09:00,12:00,"32,80","23,40","27,60","26,00",,N,,"22,50",,,"100,00","77,68",,"35,20","23,40","29,30","33,61","32,33","36,92","87,56",,,1,1,3,3,Amanda
Sexta,01/05,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,02/05,09:00,12:00,"32,60","23,50","27,40","26,00",,SE,,"16,75",,,"91,80","71,26",,"32,80","23,50","28,15","33,61","32,49","36,50","89,03","23,17",,1,1,1,2,Juliane
Sábado,02/05,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,03/05,09:00,12:00,"30,20","23,50","27,80","26,00",,L,,"19,25",,,"83,40",,,"32,60","23,50","28,05","33,61","32,17","37,36","86,12","7,11",,1,1,2,2,Juliane
Domingo,03/05,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,04/05,09:00,12:00,"32,60","23,80","26,40","25,00",,L,,"36,50",,,"100,00","79,96",,"30,20","23,80","27,00","31,67","30,55","34,41","88,79",,,1,1,2,3,Amanda e cia
Segunda,04/05,15:00,18:00,,,"30,80","27,20",,O,,,,,,,,,,,"36,07","33,19","44,41","74,73",,,1,1,2,2,Juliane
Terça,05/05,09:00,12:00,"33,60","23,30","27,80","26,20",,L,,"10,75",,,"89,58","77,62",,"32,60","23,30","27,95","34,01","32,73","37,36","87,61",,,1,1,1,2,"Murillo, Jhennifer e Alice "
Terça,05/05,15:00,18:00,,,"24,20","23,60",,NE,,,,,,,,,,,"29,13","28,65","30,20","94,87",,,3,1,1,3,Juliane
Quarta,06/05,09:00,12:00,"31,40","23,10","29,00","25,60",,NE,,"45,00",,,"100,00","82,42",,"33,60","23,10","28,35","32,82","30,10","40,05","75,16",,,1,1,1,2,amanda e cia
Quarta,06/05,15:00,18:00,,,"31,20","28,20",,SE,,,,,,,,,,,"38,24","35,84","45,44","78,88",,,1,2,1,2,amanda e cia
Quinta,07/05,09:00,12:00,"33,40","23,50","28,00","25,40",,NE,,"21,50",,,"100,00","71,56",,"31,40","23,50","27,45","32,44","30,36","37,80","80,32",,,1,1,2,2,"Murillo, Jhennifer e Pedro"
Quinta,07/05,15:00,18:00,,,"31,40","27,00",,NE,,,,,,,,,,,"35,65","32,13","45,95","69,92",,,1,1,2,3,Juliane
Sexta,08/05,09:00,12:00,"33,00","24,00","26,80","25,00",,NE,,"8,75",,,"75,36",,,"33,40","24,00","28,70","31,67","30,23","35,23","85,81","4,95",,1,1,2,2,Murillo e Cia 
Sexta,08/05,15:00,18:00,,,"25,40","24,60",,L,,,,,,,,,,,"30,93","30,29","32,44","93,37",,,3,3,3,3,aMANDA
Sábado,09/05,09:00,12:00,"32,20","22,40","29,20","26,40",,S,,"51,50",,,"100,00","73,88",,"33,00","22,40","27,70","34,41","32,17","40,52","79,41",,,1,1,2,2,Murillo
Sábado,09/05,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,10/05,09:00,12:00,"33,00","23,20","27,80","26,00",,N,,"33,00",,,"100,00","78,68",,"32,20","23,20","27,70","33,61","32,17","37,36","86,12",,,1,1,1,2,Amanda
Domingo,10/05,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,11/05,09:00,12:00,"32,80","22,90","28,40","26,20",,L,,"15,30",,,"100,00","86,74",,"33,00","22,90","27,95","34,01","32,25","38,68","83,37",,,1,1,2,2,"Amanda, Pedro e Jhennifer"
Segunda,11/05,15:00,18:00,,,"32,60","27,40",,,,,,,,,,,,,"36,50","32,34","49,18","65,75",,,1,1,1,2,Juliane
Terça,12/05,09:00,12:00,"33,20","25,00","28,00","26,40",,L,,"11,50",,,"100,00","72,00",,"32,80","25,00","28,90","34,41","33,13","37,80","87,67",,,1,1,2,2,Murillo e CIA
Terça,12/05,15:00,18:00,,,"33,40","27,80",,L,,,,,,,,,,,"37,36","32,88","51,44","63,92",,,1,1,1,2,Juliane
Quarta,13/05,09:00,12:00,"34,00","23,70","25,6","24,60",,N,,"86,25",,,"100,00","66,32",,"33,20","23,70","28,45","30,93","30,13","32,82","91,78",,,1,3,3,3,Amanda e cia
Quarta,13/05,15:00,18:00,,,"29,20","25,80",,O ,,,,,,,,,,,"33,22","30,50","40,52","75,27",,,1,2,2,2,Amanda
Quinta,14/05,09:00,12:00,"30,60","22,60","25,60","24,20",,O ,,"37,25",,,"100,00","73,46",,"34,00","22,60","28,30","30,20","29,08","32,82","88,58",,,1,1,2,2,Murillo e CIA
Quinta,14/05,15:00,18:00,,,"30,00","26,40",,N,,,,,,,,,,,"34,41","31,53","42,43","74,33",,,,,,,
Sexta,15/05,09:00,12:00,"31,20","24,00","28,00","26,00",,L,,"0,00",,,"72,28",,,"30,60","24,00","27,30","33,61","32,01","37,80","84,70","1,18",,1,1,3,2,Juliane e cia
Sexta,15/05,15:00,18:00,,,"32,60","28,20",,N,,,,,,,,,,,"38,24","34,72","49,18","70,60",,,1,1,3,2,Amanda
Sábado ,16/05,09:00,12:00,"33,20","24,10","29,50","26,80",,N,,"0,00",,,"67,62",,,"31,20","24,10","27,65","35,23","33,07","41,22","80,23","4,66",,1,2,3,2,AMANDA
Sábado ,16/05,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,17/05,09:00,12:00,"33,00","24,50","28,60","26,60",,L,,"0,00",,,"63,04",,,"33,20","24,50","28,85","34,82","33,22","39,14","84,89","4,58",,1,1,2,2,Sabrina 
Domingo,17/05,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,18/05,09:00,12:00,"34,00","24,80","29,40","27,40",,L,,"1,75",,,"61,12","75,68",,"33,00","24,80","28,90","36,50","34,90","40,99","85,14","3,67",,1,1,3,2,Juliane e cia
Segunda,18/05,15:00,18:00,,,"30,40","26,40",,O,,,,,,,,,,,"34,41","31,21","43,41","71,91",,,1,1,1,2,Juliane e cia
Terça,19/05,09:00,12:00,"32,60","23,70","29,20","26,60",,L,,"18,75",,,"86,56",,,"34,00","23,70","28,85","34,82","32,74","40,52","80,81","7,87",,1,1,3,2,Murillo e Cia
Terça,19/05,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarta,20/05,09:00,12:00,"34,80","24,50","29,40","27,00",,L,,"3,75",,,"83,94",,,"32,60","24,50","28,55","35,65","33,73","40,99","82,29","6,37",,1,1,3,2,"Jhennifer, Alice e Pedro"
Quarta,20/05,15:00,18:00,,,"31,60","27,20",,L,,,,,,,,,,,"36,07","32,55","46,48","70,03",,,2,1,2,2,AMANDA
Quinta,21/05,09:00,12:00,"33,20","24,70","30,40","26,40",,N,,"0,25",,,"76,74",,,"34,80","24,70","29,75","34,41","31,21","43,41","71,91","7,45",,1,1,1,3,Amanda e cia
Quinta,21/05,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,22/05,09:00,12:00,"34,60","23,40","29,60","26,80",,L,,"0,00",,,"68,72",,,"33,20","23,40","28,30","35,23","32,99","41,46","79,57","8,02",,1,1,3,2,Juliane e cia
Sexta,22/05,15:00,18:00,,,"33,20","26,60",,L,,,,,,,,,,,"34,82","29,54","50,86","58,08",,,1,1,1,2,SABRINA
Sábado,23/05,09:00,12:00,"34,60","23,50","27,80","26,20",,L,,"55,50",,,"100,00","80,68",,"34,60","23,50","29,05","34,01","32,73","37,36","87,61",,,1,1,3,3,AMANDA SÓ
Sábado,23/05,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,24/05,09:00,12:00,"34,20","24,40","27,00","25,40",,L,,"5,00",,,"80,46",,,"34,60","24,40","29,50","32,44","31,16","35,65","87,40","5,22",,1,1,2,2,Murillo :)
Domingo,24/05,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,25/05,09:00,12:00,"33,80","24,10","26,00","24,20",,SO,,"48,50",,,"100,00","84,50",,"34,20","24,10","29,15","30,20","28,76","33,61","85,56",,,1,1,2,2,"Amanda, Pedro e Jhennifer"
Segunda,25/05,15:00,18:00,,,"31,60","27,00",,NE,,,,,,,,,,,,,,,,,1,1,2,2,Juliane
Terça,26/05,09:00,12:00,"33,40","24,80","28,6","26,40",,NE,,"19,00",,,"100,00","75,58",,"33,80","24,80","29,30","34,41","32,65","39,14","83,44",,,1,1,2,2,"Jhennifer, Pedro e Alice"
Terça,26/05,15:00,18:00,,,"32,20","27,00",,L,,,,,,,,,,,"35,65","31,49","48,08","65,49",,,1,1,3,2,
Quarta,27/05,09:00,12:00,"33,80","24,80","27,80","25,80",,L,,"0,00",,,"71,70",,,"33,40","24,80","29,10","33,22","31,62","37,36","84,63","3,88",,1,1,1,3,Juliane e CIA
Quarta,27/05,15:00,18:00,,,"32,50","27,80",,NE,,,,,,,,,,,"37,36","33,60","48,90","68,70",,,1,2,3,3,Amanda
Quinta,28/05,09:00,12:00,"34,00","24,80","27,80","25,60",,NE,,"18,50",,,"85,16",,,"33,80","24,80","29,30","32,82","31,06","37,36","83,15","5,04",,1,1,3,2,Juliane e CIA
Quinta,28/05,15:00,18:00,,,"33,20","28,00",,L,,,,,,,,,,,"37,80","33,64","50,86","66,13",,,1,1,2,2,Murilo
Sexta,29/05,09:00,12:00,"33,80","25,10","29,20","27,20",,NE,,"3,50",,,"84,64",,,"34,00","25,10","29,55","36,07","34,47","40,52","85,07","4,02",,1,1,2,2,"Murilo, Pedro e Jhennifer"
Sexta,29/05,15:00,18:00,,,"30,20","28,00",,O,,,,,,,,,,,"37,80","36,04","42,92","83,97",,,1,1,2,3,Murillo
Sábado,30/05,09:00,12:00,"33,40","24,10","27,00","25,80",,O,,"39,00",,,"100,00","75,00",,"33,80","24,10","28,95","33,22","32,26","35,65","90,48",,,1,1,1,2,Sabrina
Sábado,30/05,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,31/05,09:00,12:00,"33,60","24,30","27,80","25,40",,SE,,"16,25",,,"79,76",,,"33,40","24,30","28,85","32,44","30,52","37,36","81,69","11,49",,1,1,3,2,Juliane
Domingo,31/05,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,01/06,09:00,12:00,"33,40","24,30","30,20","27,40",,NE,,"0,00",,,"73,56",,,"33,60","24,30","28,95","36,50","34,26","42,92","79,82","6,20",,1,1,3,2,Murillo e CIA
Segunda,01/06,15:00,18:00,,,"33,00","27,20",,L,,,,,,,,,,,"36,07","31,43","50,30","62,49",,,1,1,1,2,sABRINA
Terça,02/06,09:00,12:00,"33,80","24,10","29,00","26,00",,NO,,"0,00",,,"72,76",,,"33,40","24,10","28,75","33,61","31,21","40,05","77,93","0,80",,1,1,3,2,Jhennifer
Terça,02/06,15:00,18:00,,,"32,40","28,00",,O,,,,,,,,,,,"37,80","34,28","48,63","70,49",,,1,1,1,2,sABRINA
Quarta,03/06,09:00,12:00,"33,80","23,50","30,00","26,60",,L,,"22,75",,,"83,10",,,"33,80","23,50","28,65","34,82","32,10","42,43","75,67","12,41",,1,1,3,2,Jhennifer e Alice
Quarta,03/06,15:00,18:00,,,"32,60","27,20",,L,,,,,,,,,,,,,,,,,1,1,1,2,
Quinta,04/06,09:00,12:00,"33,40","23,90","28,80","26,00",,L,,"0,00",,,"80,72",,,"33,80","23,90","28,85","33,61","31,37","39,59","79,24","2,38",,1,1,2,2,Sabrina 
Quinta,04/06,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexta,05/06,09:00,12:00,"33,40","24,40","29,60","26,80",,L,,"6,25",,,"81,42",,,"33,40","24,40","28,90","35,23","32,99","41,46","79,57","5,55",,1,1,2,2,Murillo
Sexta,05/06,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sábado,06/06,09:00,12:00,"33,40","24,10","29,80","27,60",,L,,"19,50",,,"100,00","84,74",,"33,40","24,10","28,75","36,92","35,16","41,94","83,84","0,92",,1,1,1,1,Amanda
Sábado,06/06,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,07/06,09:00,12:00,"34,20","23,40","27,80","26,20",,L,,"22,00",,,"100,00","75,92",,"33,40","23,40","28,40","34,01","32,73","37,36","87,61",,,1,1,2,2,Murillo
Domingo,07/06,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,08/06,09:00,12:00,"34,40","23,70","29,40","26,60",,L,,"0,25",,,"71,14",,,"34,20","23,70","28,95","34,82","32,58","40,99","79,49","5,03",,1,1,3,2,Murillo e Pedro
Segunda,08/06,15:00,18:00,,,"25,60","24,80",,O,,,,,,,,,,,"31,30","30,66","32,82","93,40",,,2,1,2,3,Deni
Terça,09/06,09:00,12:00,"33,20","22,80","29,40","26,40",,L,,"34,75",,,"100,00","71,30",,"34,40","22,80","28,60","34,41","32,01","40,99","78,11",,,1,1,3,2,Murillo
Terça,09/06,15:00,18:00,,,"33,20","30,20",,N,,,,,,,,,,,"42,92","40,52","50,86","79,66",,,1,1,2,2,"Juliane, Pedro e Jhennifer"
Quarta,10/06,09:00,12:00,"33,80","23,30","29,60","27,60",,L,,"8,00",,,"73,10",,,"33,20","23,30","28,25","36,92","35,32","41,46","85,20","6,20",,1,1,3,2,Alice
Quarta,10/06,15:00,18:00,,,"26,40","25,80",,L,,,,,,,,,,,"33,22","32,74","34,41","95,12",,,1,2,1,2,AMANDA
Quinta,11/06,09:20,12:00,"33,60","22,80","27,20","26,40",,L,,"15,00",,,"83,92",,,"33,80","22,80","28,30","34,41","33,77","36,07","93,63","4,18",,1,1,1,2,Jhennifer
Quinta,11/06,15:00,18:00,,,"32,00","31,20",,L,,,,,,,,,,,"45,44","44,80","47,54","94,22",,,1,1,1,2,SABRINA
Sexta,12/06,09:00,12:00,"33,20","22,90","30,00","28,80",,L,,"0,00",,,"77,36",,,"33,60","22,90","28,25","39,59","38,63","42,43","91,06","6,56",,1,1,3,2,Pedro
Sexta,12/06,15:00,18:00,,,"33,20","32,00",,S,,,,,,,,,,,"47,54","46,58","50,86","91,58",,,1,1,1,2,Sabrina 
Sábado,13/06,09:00,12:00,"34,00","23,60","29,20","27,60",,L,,"5,00",,,"79,40",,,"33,20","23,60","28,40","36,92","35,64","40,52","87,97","2,96",,1,1,2,2,Sabrina
Sábado,13/06,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domingo,14/06,09:00,12:00,"33,00","23,10","28,60","27,80",,L,,"9,75",,,"77,74",,,"34,00","23,10","28,55","37,36","36,72","39,14","93,82","11,41",,1,1,3,1,Juliane
Domingo,14/06,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segunda,15/06,09:50,12:00,"34,00","24,00","29,40","28,60",,L,,"0,00",,,"73,16",,,"33,00","24,00","28,50","39,14","38,50","40,99","93,92","4,58",,1,1,3,1,Murillo
Segunda,15/06,15:00,18:00,,,"33,40","32,40",,SE,,,,,,,,,,,"48,63","47,83","51,44","92,99",,,1,1,1,2,Juliane
